Edad,Sexo,Nivel_Educativo,Estado_Civil,Sector_Economico,Inscrito_Camara_Comercio,Probabilidad_Inscripcion,Prediccion_Modelo,Riesgo_Desercion
38.0,F,TECNICO,SEPARADO/A,COMERCIAL,0.0,0.0584444444444444,No,ALTO
28.0,F,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
55.0,F,TECNICO,SEPARADO/A,SERVICIOS,0.0,0.01,No,ALTO
30.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0230714285714285,No,ALTO
20.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
32.0,F,TECNICO,UNION LIBRE,SERVICIOS,0.0,0.02,No,ALTO
24.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
21.0,F,PROFESIONAL,SOLTERO/A,COMERCIAL,0.0,0.1201666666666666,No,ALTO
31.0,M,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.25,No,ALTO
28.0,F,UNDECIMO,SEPARADO/A,SERVICIOS,0.0,0.07,No,ALTO
22.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
39.0,F,UNDECIMO,UNION LIBRE,MANUFACTURERO,0.0,0.4693333333333334,Sí,MEDIO
28.0,F,UNDECIMO,CASADO/A,COMERCIAL,0.0,0.0,No,ALTO
25.0,F,TECNOLOGO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
38.0,F,UNDECIMO,SEPARADO/A,SERVICIOS,0.0,0.06,No,ALTO
38.0,F,TECNICO,SEPARADO/A,SERVICIOS,0.0,0.0233333333333333,No,ALTO
26.0,F,UNDECIMO,UNION LIBRE,MANUFACTURERO,0.0,0.0,No,ALTO
44.0,F,UNDECIMO,SEPARADO/A,MANUFACTURERO,0.0,0.025,No,ALTO
36.0,M,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.22,No,ALTO
25.0,F,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
22.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
41.0,F,TECNICO,UNION LIBRE,MANUFACTURERO,0.0,0.01,No,ALTO
45.0,F,TECNICO,UNION LIBRE,MANUFACTURERO,0.0,0.01,No,ALTO
26.0,F,TECNICO,UNION LIBRE,MANUFACTURERO,0.0,0.0,No,ALTO
25.0,M,TECNICO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
28.0,F,POSTGRADO,SOLTERO/A,SERVICIOS,0.0,0.24,No,ALTO
23.0,F,TECNOLOGO,SOLTERO/A,COMERCIAL,0.0,0.03,No,ALTO
27.0,F,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
22.0,M,TECNICO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
23.0,F,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
35.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
27.0,M,TECNICO,SOLTERO/A,SERVICIOS,0.0,0.01,No,ALTO
35.0,F,TECNICO,UNION LIBRE,SERVICIOS,0.0,0.0,No,ALTO
31.0,F,UNDECIMO,UNION LIBRE,SERVICIOS,0.0,0.0166666666666666,No,ALTO
29.0,F,UNDECIMO,UNION LIBRE,SERVICIOS,0.0,0.0,No,ALTO
24.0,F,TECNICO,CASADO/A,MANUFACTURERO,0.0,0.01,No,ALTO
39.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
19.0,F,UNDECIMO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
28.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.01525,No,ALTO
43.0,F,TECNICO,CASADO/A,MANUFACTURERO,1.0,0.0,No,ALTO
56.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,1.0,0.3325,No,MEDIO
57.0,M,TECNICO,CASADO/A,COMERCIAL,0.0,0.12,No,ALTO
25.0,F,TECNICO,UNION LIBRE,COMERCIAL,0.0,0.0,No,ALTO
25.0,M,TECNICO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
28.0,M,TECNICO,SOLTERO/A,MANUFACTURERO,0.0,0.01,No,ALTO
23.0,F,TECNICO,UNION LIBRE,MANUFACTURERO,0.0,0.0,No,ALTO
21.0,F,PROFESIONAL,SOLTERO/A,MANUFACTURERO,0.0,0.05,No,ALTO
34.0,M,TECNOLOGO,SOLTERO/A,MANUFACTURERO,0.0,0.09,No,ALTO
40.0,M,PROFESIONAL,UNION LIBRE,SERVICIOS,1.0,0.0998333333333333,No,ALTO
37.0,F,PROFESIONAL,UNION LIBRE,COMERCIAL,0.0,0.0533333333333333,No,ALTO
55.0,M,TECNOLOGO,CASADO/A,SERVICIOS,1.0,0.7,Sí,BAJO
32.0,F,UNDECIMO,SEPARADO/A,COMERCIAL,0.0,0.09,No,ALTO
57.0,F,NO ESPECIFICA,CASADO/A,SERVICIOS,0.0,0.12,No,ALTO
45.0,M,UNDECIMO,UNION LIBRE,COMERCIAL,0.0,0.715,Sí,BAJO
62.0,M,NO ESPECIFICA,SOLTERO/A,SERVICIOS,0.0,0.04,No,ALTO
40.0,M,TERCERO,UNION LIBRE,SERVICIOS,0.0,0.05,No,ALTO
53.0,F,QUINTO,SEPARADO/A,SERVICIOS,0.0,0.11,No,ALTO
65.0,F,QUINTO,UNION LIBRE,SERVICIOS,1.0,0.61,Sí,BAJO
65.0,F,QUINTO,VIUDO/A,SERVICIOS,0.0,0.07,No,ALTO
63.0,M,QUINTO,SOLTERO/A,SERVICIOS,1.0,0.11,No,ALTO
51.0,F,TECNICO,SOLTERO/A,SERVICIOS,0.0,0.7866666666666666,Sí,BAJO
45.0,M,TERCERO,CASADO/A,SERVICIOS,0.0,0.13,No,ALTO
44.0,M,PROFESIONAL,CASADO/A,SERVICIOS,0.0,0.4213333333333333,Sí,MEDIO
46.0,M,UNDECIMO,UNION LIBRE,AGRICOLA,0.0,0.02,No,ALTO
41.0,M,NINGUNO,NO ESPECIFICA,AGRICOLA,0.0,0.0,No,ALTO
49.0,F,TECNOLOGO,NO ESPECIFICA,AGRICOLA,0.0,0.06,No,ALTO
59.0,M,QUINTO,NO ESPECIFICA,AGRICOLA,0.0,0.0,No,ALTO
24.0,M,QUINTO,NO ESPECIFICA,AGRICOLA,0.0,0.02,No,ALTO
35.0,M,UNDECIMO,NO ESPECIFICA,AGRICOLA,0.0,0.01,No,ALTO
61.0,M,QUINTO,NO ESPECIFICA,AGRICOLA,0.0,0.0,No,ALTO
38.0,M,NOVENO,NO ESPECIFICA,AGRICOLA,0.0,0.0,No,ALTO
32.0,F,TECNOLOGO,NO ESPECIFICA,SERVICIOS,0.0,0.1438095238095238,No,ALTO
56.0,M,UNDECIMO,NO ESPECIFICA,AGRICOLA,0.0,0.05,No,ALTO
43.0,F,QUINTO,NO ESPECIFICA,AGRICOLA,0.0,0.01,No,ALTO
28.0,M,NOVENO,NO ESPECIFICA,SERVICIOS,0.0,0.02,No,ALTO
26.0,F,NOVENO,NO ESPECIFICA,PESQUERO,0.0,0.005,No,ALTO
20.0,F,NOVENO,NO ESPECIFICA,SERVICIOS,0.0,0.01,No,ALTO
21.0,M,QUINTO,NO ESPECIFICA,AGRICOLA,0.0,0.02,No,ALTO
71.0,M,NINGUNO,NO ESPECIFICA,AGRICOLA,0.0,0.08,No,ALTO
63.0,M,QUINTO,NO ESPECIFICA,AGRICOLA,0.0,0.0,No,ALTO
40.0,M,QUINTO,NO ESPECIFICA,AGRICOLA,0.0,0.0,No,ALTO
31.0,M,UNDECIMO,NO ESPECIFICA,AGRICOLA,0.0,0.02,No,ALTO
43.0,M,QUINTO,NO ESPECIFICA,AGRICOLA,0.0,0.0,No,ALTO
21.0,M,UNDECIMO,NO ESPECIFICA,AGRICOLA,0.0,0.0,No,ALTO
39.0,F,UNDECIMO,SOLTERO/A,SERVICIOS,1.0,0.74,Sí,BAJO
51.0,M,TECNOLOGO,CASADO/A,SERVICIOS,0.0,0.28,No,ALTO
30.0,F,TECNICO,SOLTERO/A,SERVICIOS,0.0,0.0,No,ALTO
72.0,M,OCTAVO,CASADO/A,COMERCIAL,0.0,0.05,No,ALTO
31.0,M,TECNOLOGO,SOLTERO/A,SERVICIOS,0.0,0.07,No,ALTO
54.0,M,QUINTO,SEPARADO/A,AGRICOLA,0.0,0.15,No,ALTO
38.0,M,TECNICO,NO ESPECIFICA,SERVICIOS,0.0,0.03,No,ALTO
